module,file,mode,median_us,min_us
bsg_adder_one_hot,examples/basejump/bsg_adder_one_hot.rs,combinational,208.5,201.9
bsg_counter_up_down,examples/basejump/bsg_counter_up_down.rs,sequential,467.5,461.9
bsg_dff_en,examples/basejump/bsg_dff_en.rs,sequential,94.1,90.5
bsg_encode_one_hot,examples/basejump/bsg_encode_one_hot.rs,combinational,127.0,125.6
bsg_gray_to_binary,examples/basejump/bsg_gray_to_binary.rs,combinational,122.2,119.8
bsg_mux_one_hot,examples/basejump/bsg_mux_one_hot.rs,combinational,114.2,112.5
sipo_block,examples/basejump/sipo_block.rs,sequential,658.2,642.7
event_source,examples/cdc/flag_crossing.rs,sequential,58.6,55.5
event_sink,examples/cdc/flag_crossing.rs,sequential,56.8,56.3
fast_counter,examples/cdc/two_domain_counter.rs,sequential,170.5,166.9
slow_consumer,examples/cdc/two_domain_counter.rs,sequential,58.9,56.8
fast_counter,examples/cdc/two_domain_hierarchy.rs,sequential,169.4,166.6
flag_sync,examples/cdc/two_domain_hierarchy.rs,synchronizer,104.7,102.0
slow_consumer,examples/cdc/two_domain_hierarchy.rs,sequential,58.7,56.2
two_domain_top,examples/cdc/two_domain_hierarchy.rs,structural,91.6,89.1
mux,examples/combinational/mux.rs,combinational,111.8,102.0
one_bit_comparator,examples/combinational/one_bit_comparator.rs,combinational,66.2,64.6
priority_encode,examples/combinational/priority_encode.rs,combinational,150.8,138.3
ripple_carry_adder,examples/combinational/ripple_carry_adder.rs,combinational,167.4,162.8
rotate_right,examples/combinational/rotate_right.rs,combinational,130.3,127.5
rv32i_cpu_pipelined,examples/cpu/rv32i_cpu_pipelined.rs,sequential,9654.2,9224.5
rv32i_cpu_transpilable,examples/cpu/rv32i_cpu_transpilable.rs,sequential,517102.7,500102.3
dual_port_ram,examples/memory/dual_port_ram.rs,sequential,382.5,371.8
handshake,examples/sequential/handshake.rs,sequential,198.9,189.9
lfsr,examples/sequential/lfsr.rs,sequential,243.5,235.0
det_110101,examples/sequential/pattern_detector.rs,sequential,278.7,265.6
det_010,examples/sequential/pattern_detector_2.rs,sequential,281.1,276.1
det_010_awaits,examples/sequential/pattern_detector_2.rs,sequential,272.8,270.2
det_for,examples/sequential/pattern_detector_for.rs,sequential,275.9,270.6
mac_fsm,examples/sequential/pipeline_mac.rs,sequential,311.2,301.2
mac_pipeline,examples/sequential/pipeline_mac.rs,sequential,185.8,183.2
shift_register,examples/sequential/shift_register.rs,sequential,529.0,517.6
traffic_light,examples/sequential/traffic_light_fsm.rs,sequential,544.6,536.5
rx,examples/uart/rx.rs,sequential,431.7,418.0
uart_tx,examples/uart/system.rs,sequential,386.5,379.9
uart_rx,examples/uart/system.rs,sequential,431.4,418.2
