module,file,mode,median_us,min_us
bsg_adder_one_hot,examples/basejump/bsg_adder_one_hot.rs,combinational,246.6,237.1
bsg_counter_up_down,examples/basejump/bsg_counter_up_down.rs,sequential,382.8,379.5
bsg_dff_en,examples/basejump/bsg_dff_en.rs,sequential,116.1,111.2
bsg_encode_one_hot,examples/basejump/bsg_encode_one_hot.rs,combinational,157.9,122.7
bsg_gray_to_binary,examples/basejump/bsg_gray_to_binary.rs,combinational,119.3,117.2
bsg_mux_one_hot,examples/basejump/bsg_mux_one_hot.rs,combinational,111.5,110.2
sipo_block,examples/basejump/sipo_block.rs,sequential,642.8,627.7
event_source,examples/cdc/flag_crossing.rs,sequential,56.6,54.3
event_sink,examples/cdc/flag_crossing.rs,sequential,56.6,55.7
fast_counter,examples/cdc/two_domain_counter.rs,sequential,167.2,164.4
slow_consumer,examples/cdc/two_domain_counter.rs,sequential,57.8,56.3
fast_counter,examples/cdc/two_domain_hierarchy.rs,sequential,167.9,162.5
flag_sync,examples/cdc/two_domain_hierarchy.rs,synchronizer,103.2,100.4
slow_consumer,examples/cdc/two_domain_hierarchy.rs,sequential,56.6,55.3
two_domain_top,examples/cdc/two_domain_hierarchy.rs,structural,83.5,82.1
mux,examples/combinational/mux.rs,combinational,113.5,101.1
one_bit_comparator,examples/combinational/one_bit_comparator.rs,combinational,65.1,62.9
priority_encode,examples/combinational/priority_encode.rs,combinational,138.3,134.1
ripple_carry_adder,examples/combinational/ripple_carry_adder.rs,combinational,154.1,150.5
rotate_right,examples/combinational/rotate_right.rs,combinational,120.1,117.3
rv32i_cpu_pipelined,examples/cpu/rv32i_cpu_pipelined.rs,sequential,9791.8,9132.1
rv32i_cpu_transpilable,examples/cpu/rv32i_cpu_transpilable.rs,sequential,507698.1,496908.8
dual_port_ram,examples/memory/dual_port_ram.rs,sequential,393.4,382.1
handshake,examples/sequential/handshake.rs,sequential,201.1,192.9
lfsr,examples/sequential/lfsr.rs,sequential,254.2,244.4
det_110101,examples/sequential/pattern_detector.rs,sequential,292.8,284.4
det_010,examples/sequential/pattern_detector_2.rs,sequential,291.2,280.2
det_010_awaits,examples/sequential/pattern_detector_2.rs,sequential,274.1,267.1
det_for,examples/sequential/pattern_detector_for.rs,sequential,281.2,276.8
mac_fsm,examples/sequential/pipeline_mac.rs,sequential,328.9,317.4
mac_pipeline,examples/sequential/pipeline_mac.rs,sequential,199.4,198.1
shift_register,examples/sequential/shift_register.rs,sequential,550.2,539.6
traffic_light,examples/sequential/traffic_light_fsm.rs,sequential,564.1,559.5
rx,examples/uart/rx.rs,sequential,449.3,443.5
uart_tx,examples/uart/system.rs,sequential,409.1,405.1
uart_rx,examples/uart/system.rs,sequential,449.6,441.1
