module,file,median_ms,min_ms,emitted_bytes
bsg_adder_one_hot,examples/basejump/bsg_adder_one_hot.rs,3.1,3.1,643
bsg_counter_up_down,examples/basejump/bsg_counter_up_down.rs,5.1,4.9,718
bsg_dff_en,examples/basejump/bsg_dff_en.rs,3.5,3.4,260
bsg_encode_one_hot,examples/basejump/bsg_encode_one_hot.rs,3.2,3.1,591
bsg_gray_to_binary,examples/basejump/bsg_gray_to_binary.rs,2.8,2.8,486
bsg_mux_one_hot,examples/basejump/bsg_mux_one_hot.rs,3.5,3.4,584
sipo_block,examples/basejump/sipo_block.rs,5.7,5.4,1997
event_source,examples/cdc/flag_crossing.rs,3.1,3.0,188
event_sink,examples/cdc/flag_crossing.rs,3.1,3.1,186
fast_counter,examples/cdc/two_domain_counter.rs,3.9,3.6,490
slow_consumer,examples/cdc/two_domain_counter.rs,3.4,3.3,177
fast_counter,examples/cdc/two_domain_hierarchy.rs,4.6,4.5,490
flag_sync,examples/cdc/two_domain_hierarchy.rs,4.5,4.4,376
slow_consumer,examples/cdc/two_domain_hierarchy.rs,4.4,4.3,177
two_domain_top,examples/cdc/two_domain_hierarchy.rs,4.4,4.2,531
mux,examples/combinational/mux.rs,3.4,3.2,422
one_bit_comparator,examples/combinational/one_bit_comparator.rs,4.2,3.4,246
priority_encode,examples/combinational/priority_encode.rs,5.1,3.8,569
ripple_carry_adder,examples/combinational/ripple_carry_adder.rs,4.9,3.7,710
rotate_right,examples/combinational/rotate_right.rs,3.5,3.5,485
rv32i_cpu_pipelined,examples/cpu/rv32i_cpu_pipelined.rs,164.6,163.4,102197
rv32i_cpu_transpilable,examples/cpu/rv32i_cpu_transpilable.rs,1764.5,1750.8,34356
dual_port_ram,examples/memory/dual_port_ram.rs,5.6,5.3,1307
handshake,examples/sequential/handshake.rs,5.0,4.5,1394
lfsr,examples/sequential/lfsr.rs,4.2,4.2,511
det_110101,examples/sequential/pattern_detector.rs,4.8,4.7,736
det_010,examples/sequential/pattern_detector_2.rs,5.0,4.9,713
det_010_awaits,examples/sequential/pattern_detector_2.rs,5.3,5.2,2337
det_for,examples/sequential/pattern_detector_for.rs,6.9,6.8,4493
mac_fsm,examples/sequential/pipeline_mac.rs,4.8,4.7,1937
mac_pipeline,examples/sequential/pipeline_mac.rs,4.6,4.4,1277
shift_register,examples/sequential/shift_register.rs,5.8,5.7,1007
traffic_light,examples/sequential/traffic_light_fsm.rs,5.7,5.5,1708
rx,examples/uart/rx.rs,8.6,8.1,10357
uart_tx,examples/uart/system.rs,8.4,8.3,8878
uart_rx,examples/uart/system.rs,8.8,8.6,10362
