module,file,median_ms,min_ms,emitted_bytes
bsg_adder_one_hot,examples/basejump/bsg_adder_one_hot.rs,5.0,4.2,643
bsg_counter_up_down,examples/basejump/bsg_counter_up_down.rs,4.9,4.6,718
bsg_dff_en,examples/basejump/bsg_dff_en.rs,3.5,3.3,260
bsg_encode_one_hot,examples/basejump/bsg_encode_one_hot.rs,3.3,3.2,591
bsg_gray_to_binary,examples/basejump/bsg_gray_to_binary.rs,3.2,3.0,486
bsg_mux_one_hot,examples/basejump/bsg_mux_one_hot.rs,3.5,3.5,584
sipo_block,examples/basejump/sipo_block.rs,4.7,4.6,1865
event_source,examples/cdc/flag_crossing.rs,3.3,3.2,188
event_sink,examples/cdc/flag_crossing.rs,3.3,3.3,186
fast_counter,examples/cdc/two_domain_counter.rs,3.5,3.4,358
slow_consumer,examples/cdc/two_domain_counter.rs,3.3,3.2,177
fast_counter,examples/cdc/two_domain_hierarchy.rs,3.9,3.9,358
flag_sync,examples/cdc/two_domain_hierarchy.rs,3.9,3.7,228
slow_consumer,examples/cdc/two_domain_hierarchy.rs,3.8,3.8,177
two_domain_top,examples/cdc/two_domain_hierarchy.rs,4.0,3.9,531
mux,examples/combinational/mux.rs,3.3,3.2,422
one_bit_comparator,examples/combinational/one_bit_comparator.rs,3.0,2.9,246
priority_encode,examples/combinational/priority_encode.rs,3.3,3.2,569
ripple_carry_adder,examples/combinational/ripple_carry_adder.rs,3.5,3.4,710
rotate_right,examples/combinational/rotate_right.rs,3.4,3.3,485
rv32i_cpu_pipelined,examples/cpu/rv32i_cpu_pipelined.rs,109.4,108.4,101264
rv32i_cpu_transpilable,examples/cpu/rv32i_cpu_transpilable.rs,1262.0,1253.4,33419
dual_port_ram,examples/memory/dual_port_ram.rs,4.5,4.5,1307
lfsr,examples/sequential/lfsr.rs,3.8,3.6,511
det_110101,examples/sequential/pattern_detector.rs,4.0,3.8,606
det_010,examples/sequential/pattern_detector_2.rs,4.1,4.0,583
det_010_awaits,examples/sequential/pattern_detector_2.rs,4.2,4.2,2210
mac_fsm,examples/sequential/pipeline_mac.rs,4.3,4.1,1807
mac_pipeline,examples/sequential/pipeline_mac.rs,3.9,3.8,1145
shift_register,examples/sequential/shift_register.rs,4.6,4.4,1007
traffic_light,examples/sequential/traffic_light_fsm.rs,4.5,4.3,1556
rx,examples/uart/rx.rs,6.2,6.1,10106
uart_tx,examples/uart/system.rs,6.1,6.0,8639
uart_rx,examples/uart/system.rs,6.5,6.5,10111
